features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
7978449,73.8059692,18.5124779,Maruti Mandir,"religion,hindu_temples,interesting_places"
1880085,73.8553619,18.4716396,Laxmi Mandir Temple,"religion,hindu_temples,interesting_places"
7982637,73.855835,18.471611,Ganesh Sanjay Temple,"religion,hindu_temples,interesting_places"
1880084,73.8553925,18.4715824,Mhasoba Temple,"religion,hindu_temples,interesting_places"
1880371,73.9041367,18.539484,Zakariya Masjid,"religion,other_temples,interesting_places"
5102355,73.8558578,18.4712505,Nav Ekta Mitramandle,"religion,other_temples,interesting_places"
1880083,73.8552475,18.4709167,Mhasoba Bamaj Temple,"religion,hindu_temples,interesting_places"
5167806,73.8555984,18.470583,Maruti Temple,"religion,hindu_temples,interesting_places"
7982636,73.8558578,18.4705276,Boudh Vihor Temple,"religion,hindu_temples,interesting_places"
1880082,73.855278,18.4701672,Shankar Mandir Temple,"religion,hindu_temples,interesting_places"
5167805,73.8559189,18.4700546,Somaj Mandir Temple,"religion,hindu_temples,interesting_places"
5686740,73.8094864,18.4958725,Shri Ram Mandir,"religion,hindu_temples,interesting_places"
5686991,73.8870926,18.562645,Shani Temple,"religion,hindu_temples,interesting_places"
1879690,73.8181152,18.5561752,,"historic,monuments_and_memorials,interesting_places,monuments"
1879416,73.8032608,18.5103474,Ramkrishna Paramhansnagar Sarvajanik Ganeshotsav Mandal,"religion,hindu_temples,interesting_places"
1880089,73.8639832,18.4683685,Shani Maruti Temple,"religion,hindu_temples,interesting_places"
14698880,73.8279648,18.4754562,Taljai Hills,"mountain_peaks,interesting_places,natural,geological_formations"
1880072,73.8612137,18.4678745,Ankush Mitra Mandal trust,"religion,other_temples,interesting_places"
